iter	Passed	Remaining
0	78	78448
1	100	50320
2	123	40968
3	143	35705
4	164	32693
5	183	30318
6	201	28596
7	220	27296
8	238	26251
9	256	25422
10	275	24795
11	294	24261
12	314	23859
13	332	23417
14	349	22978
15	370	22759
16	391	22623
17	408	22295
18	426	22023
19	444	21800
20	462	21571
21	480	21348
22	498	21196
23	517	21054
24	535	20869
25	554	20779
26	573	20650
27	590	20504
28	604	20250
29	621	20104
30	638	19969
31	655	19841
32	676	19818
33	694	19719
34	711	19610
35	729	19524
36	746	19434
37	764	19346
38	783	19297
39	800	19214
40	819	19166
41	836	19090
42	856	19053
43	874	18991
44	894	18981
45	911	18910
46	931	18878
47	949	18838
48	969	18816
49	986	18739
50	1005	18703
51	1023	18667
52	1043	18650
53	1061	18602
54	1078	18533
55	1098	18511
56	1114	18445
57	1132	18395
58	1151	18361
59	1168	18313
60	1185	18254
61	1205	18234
62	1224	18205
63	1243	18183
64	1261	18150
65	1278	18096
66	1295	18043
67	1316	18044
68	1334	18011
69	1353	17980
70	1373	17974
71	1393	17962
72	1413	17947
73	1430	17903
74	1449	17876
75	1468	17858
76	1487	17833
77	1505	17795
78	1522	17752
79	1538	17695
80	1556	17654
81	1574	17621
82	1593	17602
83	1612	17588
84	1631	17563
85	1650	17542
86	1671	17539
87	1690	17518
88	1709	17497
89	1726	17460
90	1745	17437
91	1765	17428
92	1782	17385
93	1802	17376
94	1822	17365
95	1840	17327
96	1857	17291
97	1876	17273
98	1897	17264
99	1918	17265
100	1936	17241
101	1953	17201
102	1972	17175
103	1991	17158
104	2011	17144
105	2031	17136
106	2055	17151
107	2074	17137
108	2094	17125
109	2112	17093
110	2131	17070
111	2153	17070
112	2174	17070
113	2194	17053
114	2213	17034
115	2232	17014
116	2249	16976
117	2269	16964
118	2292	16972
119	2311	16950
120	2329	16924
121	2348	16904
122	2367	16879
123	2385	16853
124	2405	16836
125	2423	16809
126	2443	16793
127	2462	16775
128	2481	16752
129	2500	16735
130	2523	16738
131	2542	16718
132	2561	16700
133	2579	16673
134	2601	16666
135	2621	16652
136	2641	16638
137	2661	16624
138	2681	16609
139	2700	16587
140	2719	16568
141	2739	16549
142	2758	16531
143	2777	16511
144	2796	16492
145	2816	16472
146	2836	16457
147	2855	16439
148	2876	16428
149	2897	16418
150	2918	16410
151	2938	16391
152	2957	16370
153	2975	16348
154	2995	16329
155	3015	16313
156	3034	16295
157	3053	16274
158	3073	16256
159	3092	16237
160	3113	16222
161	3131	16200
162	3154	16197
163	3174	16182
164	3194	16164
165	3214	16149
166	3234	16134
167	3254	16118
168	3275	16105
169	3294	16085
170	3314	16067
171	3333	16046
172	3353	16029
173	3373	16014
174	3392	15992
175	3412	15978
176	3432	15962
177	3452	15944
178	3472	15926
179	3492	15909
180	3511	15887
181	3529	15865
182	3550	15851
183	3570	15836
184	3591	15821
185	3611	15805
186	3631	15788
187	3651	15770
188	3671	15755
189	3690	15734
190	3710	15714
191	3729	15692
192	3748	15671
193	3767	15651
194	3787	15633
195	3806	15612
196	3827	15600
197	3847	15586
198	3867	15566
199	3887	15548
200	3906	15529
201	3927	15515
202	3948	15500
203	3967	15479
204	3986	15458
205	4006	15441
206	4026	15423
207	4046	15406
208	4064	15382
209	4083	15361
210	4100	15334
211	4121	15320
212	4141	15303
213	4161	15285
214	4181	15265
215	4200	15246
216	4220	15228
217	4240	15210
218	4259	15191
219	4279	15173
220	4300	15158
221	4319	15138
222	4339	15119
223	4358	15099
224	4377	15079
225	4397	15058
226	4416	15040
227	4436	15021
228	4455	15001
229	4475	14982
230	4494	14963
231	4513	14942
232	4533	14922
233	4552	14902
234	4572	14885
235	4593	14869
236	4613	14854
237	4633	14834
238	4654	14818
239	4674	14801
240	4694	14783
241	4714	14765
242	4734	14749
243	4754	14730
244	4774	14714
245	4795	14698
246	4816	14682
247	4836	14664
248	4855	14645
249	4874	14624
250	4899	14619
251	4919	14601
252	4939	14585
253	4960	14568
254	4980	14550
255	4999	14529
256	5018	14509
257	5038	14489
258	5057	14470
259	5077	14451
260	5097	14433
261	5118	14416
262	5136	14394
263	5159	14384
264	5181	14370
265	5201	14353
266	5222	14337
267	5242	14320
268	5263	14302
269	5282	14282
270	5301	14261
271	5321	14242
272	5341	14225
273	5361	14205
274	5381	14187
275	5400	14167
276	5420	14148
277	5441	14133
278	5461	14114
279	5481	14096
280	5501	14075
281	5520	14055
282	5538	14033
283	5558	14012
284	5577	13993
285	5598	13977
286	5618	13957
287	5638	13939
288	5657	13919
289	5677	13900
290	5697	13881
291	5717	13863
292	5738	13846
293	5757	13824
294	5775	13803
295	5796	13786
296	5817	13769
297	5837	13752
298	5857	13733
299	5877	13714
300	5897	13695
301	5916	13675
302	5937	13657
303	5956	13637
304	5977	13620
305	5997	13602
306	6017	13584
307	6037	13563
308	6056	13543
309	6075	13522
310	6095	13505
311	6116	13487
312	6137	13471
313	6157	13452
314	6177	13432
315	6196	13413
316	6216	13394
317	6236	13374
318	6255	13354
319	6274	13333
320	6294	13313
321	6313	13293
322	6333	13275
323	6353	13255
324	6373	13236
